#phone,score
a,0.20094022
b,0.22333334
d,0.2402877
dʑ,0.15481482
e,0.21500881
f,0.18512371
i,0.19580132
j,0.1662
k,0.214268
l,0.24967794
m,0.17855437
n,0.24161814
o,0.20775124
p,0.18885596
pː,0.17500001
r,0.30796295
s,0.18461156
t,0.21478415
tɕ,0.3
u,0.13897307
w,0.17034483
z,0.19660984
ð,0.26774737
ŋ,0.15119047
ɐ,0.2578311
ɔ,0.123611115
ɕ,0.21666667
ə,0.28924882
ɛ,0.1862454
ɡ,0.24829131
ɣ,0.27916566
ɲ,0.11509804
ɾ,0.19427133
ʊ,0.20382749
ʋ,0.18427145
ʎ,0.22788066
ʑ,0.2335915
β,0.22739391
