#phone,score
a,0.1280602
b,0.073994756
d,0.16156876
dʑ,0.14962964
e,0.13945548
f,0.11942389
i,0.13190633
j,0.09826667
k,0.19716303
l,0.21970376
m,0.21382014
n,0.1937355
o,0.13442667
p,0.19084482
pː,0.1
r,0.21687831
s,0.14297526
t,0.18302807
tɕ,0.1
u,0.13045935
w,0.16030477
z,0.1701638
ð,0.15896164
ŋ,0.021428572
ɐ,0.19375667
ɔ,0.125
ɕ,0.14444445
ə,0.22339252
ɛ,0.19458945
ɡ,0.1210084
ɣ,0.1786968
ɲ,0.016666668
ɾ,0.14165317
ʊ,0.13438238
ʋ,0.14819907
ʎ,0.19435988
ʑ,0.11719432
β,0.19916865
