#phone,score
a,0.22538431
b,0.21421038
d,0.28211
dʑ,0.18814816
e,0.21490854
f,0.14872077
i,0.19945122
j,0.1798
k,0.20841785
l,0.26617596
m,0.20730123
n,0.23276734
o,0.19673538
p,0.18249741
pː,0.125
r,0.27785715
s,0.16373608
t,0.18969621
tɕ,0.26666668
u,0.15228476
w,0.15606758
z,0.21938191
ð,0.26258358
ŋ,0.13333334
ɐ,0.252955
ɔ,0.09097222
ɕ,0.22777778
ə,0.29722652
ɛ,0.21906747
ɡ,0.262535
ɣ,0.3163969
ɲ,0.12622549
ɾ,0.21511802
ʊ,0.12328997
ʋ,0.22590433
ʎ,0.25069448
ʑ,0.22647044
β,0.22678697
