#phone,score
a,0.22942005
b,0.23423952
d,0.2628271
dʑ,0.1962963
e,0.2386063
f,0.17246793
i,0.19021058
j,0.1486
k,0.21795213
l,0.2532988
m,0.18192302
n,0.21963665
o,0.2200435
p,0.1865614
pː,0.125
r,0.31015873
s,0.16430756
t,0.21103126
tɕ,0.26666668
u,0.1537999
w,0.16861373
z,0.19248132
ð,0.23386045
ŋ,0.13928571
ɐ,0.25190789
ɔ,0.13055556
ɕ,0.29444444
ə,0.30736473
ɛ,0.23860687
ɡ,0.28039217
ɣ,0.27716318
ɲ,0.14181373
ɾ,0.19251047
ʊ,0.17008112
ʋ,0.21640542
ʎ,0.25007445
ʑ,0.23542735
β,0.25060627
