#phone,score
a,0.21938242
b,0.24472903
d,0.2533045
dʑ,0.20111111
e,0.27824357
f,0.15775323
i,0.19141419
j,0.15806668
k,0.23037617
l,0.27047324
m,0.18104936
n,0.22485486
o,0.21252988
p,0.20467296
pː,0.17500001
r,0.25955027
s,0.1683158
t,0.2089385
tɕ,0.2
u,0.13736172
w,0.1505364
z,0.19084516
ð,0.25285634
ŋ,0.16904762
ɐ,0.23484844
ɔ,0.11527778
ɕ,0.24444444
ə,0.29283231
ɛ,0.20908308
ɡ,0.22302522
ɣ,0.27608234
ɲ,0.07833333
ɾ,0.19222446
ʊ,0.1663793
ʋ,0.207292
ʎ,0.24638808
ʑ,0.17846328
β,0.22045654
