#phone,score
a,0.23060328
b,0.21581876
d,0.25348333
dʑ,0.20555556
e,0.24917027
f,0.15167242
i,0.19420059
j,0.1592
k,0.2370274
l,0.27014887
m,0.19766605
n,0.22205937
o,0.24327838
p,0.19357315
pː,0.1
r,0.28051588
s,0.18341245
t,0.20957144
tɕ,0.26666668
u,0.14568302
w,0.17991814
z,0.18910775
ð,0.25135055
ŋ,0.11666667
ɐ,0.26269364
ɔ,0.090277776
ɕ,0.18888889
ə,0.30229527
ɛ,0.22707485
ɡ,0.26991597
ɣ,0.26727554
ɲ,0.13593137
ɾ,0.20250653
ʊ,0.16933241
ʋ,0.19394869
ʎ,0.24042083
ʑ,0.2502407
β,0.2352875
