#phone,score
a,0.22549422
b,0.24393357
d,0.2796507
dʑ,0.2425926
e,0.25521675
f,0.16437481
i,0.18687177
j,0.18266667
k,0.21917614
l,0.26253426
m,0.18779324
n,0.22825664
o,0.19634579
p,0.196084
pː,0.2
r,0.29436508
s,0.15476924
t,0.19962952
tɕ,0.23333333
u,0.15386003
w,0.11759492
z,0.20618843
ð,0.22773154
ŋ,0.1404762
ɐ,0.24438636
ɔ,0.13402778
ɕ,0.22777778
ə,0.29421994
ɛ,0.27335086
ɡ,0.3827171
ɣ,0.28185147
ɲ,0.124901965
ɾ,0.2150747
ʊ,0.12475738
ʋ,0.22486243
ʎ,0.25680825
ʑ,0.21555991
β,0.22874884
